epoch,lr-AdamW,step,train_loss_step
,2.9999999999999997e-05,0,
0,,1,0.7027377486228943
0,,3,0.7026033401489258
0,,5,0.6926310658454895
0,,7,0.6836150884628296
0,,9,0.6741217374801636
0,,11,0.6754084825515747
0,,13,0.676102876663208
0,,15,0.6569710969924927
0,,17,0.6552219390869141
0,,19,0.6605162620544434
0,,21,0.643136203289032
0,,23,0.6566454768180847
0,,25,0.638336181640625
0,,27,0.6405495405197144
0,,29,0.6289355158805847
0,,31,0.6292067170143127
0,,33,0.6225165128707886
0,,35,0.6092122197151184
0,,37,0.6184301376342773
0,,39,0.6127742528915405
0,,41,0.6209570169448853
0,,43,0.5903409719467163
0,,45,0.5988543033599854
0,,47,0.5743851661682129
0,,49,0.5814753770828247
0,,51,0.5749962329864502
0,,53,0.5466572046279907
0,,55,0.5726416110992432
0,,57,0.5838474631309509
0,,59,0.5432025194168091
0,,61,0.5602830648422241
0,,63,0.5703089237213135
0,,65,0.5329068899154663
0,,67,0.5736626386642456
0,,69,0.5787449479103088
0,,71,0.5584043264389038
0,,73,0.5167341232299805
0,,75,0.5683616995811462
0,,77,0.5680333375930786
0,,79,0.5674678683280945
0,,81,0.513975203037262
0,,83,0.5359500646591187
0,,85,0.49872058629989624
0,,87,0.5307605266571045
0,,89,0.5192623138427734
0,,91,0.4953644871711731
0,,93,0.5540967583656311
0,,95,0.49499502778053284
0,,97,0.5183100700378418
0,,99,0.5158812999725342
0,,101,0.5565770268440247
0,,103,0.48954564332962036
0,,105,0.5035598278045654
0,,107,0.48577970266342163
0,,109,0.49369141459465027
0,,111,0.5273345112800598
0,,113,0.5066840648651123
0,,115,0.476158082485199
0,,117,0.5244607925415039
0,,119,0.4805910885334015
0,,121,0.5043892860412598
0,,123,0.467087984085083
0,,125,0.5178747177124023
0,,127,0.47992023825645447
0,,129,0.449343204498291
0,,131,0.44496309757232666
0,,133,0.46520042419433594
0,,135,0.47023746371269226
0,,137,0.5077543258666992
0,,139,0.4995075464248657
0,,141,0.4682886302471161
0,,143,0.4528549909591675
0,,145,0.49995672702789307
0,,147,0.47726699709892273
0,,149,0.4300936758518219
0,,151,0.44709256291389465
0,,153,0.4327823519706726
0,,155,0.4515573978424072
0,,157,0.42659884691238403
0,,159,0.4323712885379791
0,,161,0.4086453914642334
0,,163,0.3890497088432312
0,,165,0.4295375943183899
0,,167,0.42322880029678345
0,,169,0.3887448310852051
0,,171,0.4224630296230316
0,,173,0.40503090620040894
0,,175,0.42439672350883484
0,,177,0.41251471638679504
0,,179,0.37134090065956116
0,,181,0.41346997022628784
0,,183,0.3855991065502167
0,,185,0.35214170813560486
0,,187,0.4578971862792969
0,,189,0.3734286427497864
