epoch,lr-AdamW,step,train_loss_step
,2.9999999999999997e-05,0,
0,,1,0.6331549882888794
0,,3,0.6468572616577148
0,,5,0.6283859610557556
0,,7,0.6194792985916138
0,,9,0.6127596497535706
0,,11,0.6196118593215942
0,,13,0.6272603273391724
0,,15,0.5933346152305603
0,,17,0.5885815024375916
0,,19,0.6068296432495117
0,,21,0.5824172496795654
0,,23,0.6112666130065918
0,,25,0.5826583504676819
0,,27,0.5843029618263245
0,,29,0.5651841163635254
0,,31,0.5773670077323914
0,,33,0.5622034072875977
0,,35,0.556174099445343
0,,37,0.5680202841758728
0,,39,0.5613373517990112
0,,41,0.5556236505508423
0,,43,0.5212555527687073
0,,45,0.5477673411369324
0,,47,0.5234307050704956
0,,49,0.5193585157394409
0,,51,0.5126204490661621
0,,53,0.4987223744392395
0,,55,0.5163586139678955
0,,57,0.5226289629936218
