epoch,lr-AdamW,step,train_loss_step
,2.9999999999999997e-05,0,
0,,1,0.624372124671936
0,,3,0.6028227806091309
0,,5,0.551056981086731
0,,7,0.5104490518569946
0,,9,0.46464067697525024
0,,11,0.4921782612800598
0,,13,0.49679794907569885
0,,15,0.41034865379333496
0,,17,0.40577030181884766
0,,19,0.4566473960876465
0,,21,0.3882429003715515
0,,23,0.47331929206848145
0,,25,0.4091145694255829
0,,27,0.4291097819805145
0,,29,0.38150984048843384
0,,31,0.42229610681533813
0,,33,0.372312068939209
0,,35,0.37305641174316406
0,,37,0.41868168115615845
0,,39,0.4333040714263916
0,,41,0.42729881405830383
0,,43,0.35324156284332275
0,,45,0.4356231689453125
0,,47,0.3734608590602875
0,,49,0.37495121359825134
0,,51,0.40871328115463257
0,,53,0.36934196949005127
0,,55,0.38581985235214233
0,,57,0.3631163537502289
0,,59,0.3939516544342041
0,,61,0.3603881001472473
0,,63,0.3819200396537781
0,,65,0.386035680770874
0,,67,0.3505607843399048
0,,69,0.4461261034011841
0,,71,0.3825976252555847
0,,73,0.3885539174079895
0,,75,0.4253649115562439
0,,77,0.3952115774154663
0,,79,0.3814561069011688
0,,81,0.3784639835357666
0,,83,0.3601932227611542
0,,85,0.3355199992656708
0,,87,0.34460753202438354
0,,89,0.4041040539741516
0,,91,0.33528855443000793
0,,93,0.37016481161117554
0,,95,0.35196590423583984
0,,97,0.3309808373451233
0,,99,0.3960261046886444
0,,101,0.38399240374565125
0,,103,0.3215593695640564
0,,105,0.40828898549079895
0,,107,0.2874971330165863
0,,109,0.3458648920059204
0,,111,0.4146275520324707
0,,113,0.3810029625892639
0,,115,0.3352932929992676
0,,117,0.4156149923801422
0,,119,0.36829084157943726
0,,121,0.3564280867576599
0,,123,0.35321536660194397
0,,125,0.4342499077320099
0,,127,0.33755382895469666
0,,129,0.31226110458374023
